date,part_id,sales_quantity
2022-11,GHP001,101
2022-12,GHP001,100
2022-12,GHP001,100
2023-01,GHP001,101
2023-03,GHP001,95
2023-03,GHP001,95
2023-04,GHP001,101
2023-05,GHP001,101
2023-06,GHP001,103
2023-07,GHP001,101
2023-08,GHP001,101
2023-09,GHP001,99
2023-10,GHP001,101
2023-11,GHP001,101
2023-12,GHP001,106
2024-01,GHP001,101
2024-02,GHP001,101
2024-03,GHP001,99
2024-04,GHP001,101
2024-05,GHP001,101
2024-06,GHP001,107
2024-07,GHP001,101
2024-08,GHP001,101
2024-09,GHP001,107
2024-10,GHP001,101
2022-11,GHP002,225
2022-12,GHP002,222
2022-12,GHP002,222
2023-01,GHP002,225
2023-03,GHP002,212
2023-03,GHP002,212
2023-04,GHP002,225
2023-05,GHP002,225
2023-06,GHP002,231
2023-07,GHP002,225
2023-08,GHP002,225
2023-09,GHP002,222
2023-10,GHP002,225
2023-11,GHP002,225
2023-12,GHP002,236
2024-01,GHP002,225
2024-02,GHP002,225
2024-03,GHP002,220
2024-04,GHP002,225
2024-05,GHP002,225
2024-06,GHP002,239
2024-07,GHP002,225
2024-08,GHP002,225
2024-09,GHP002,240
2024-10,GHP002,225
2022-11,GHP003,293
2022-12,GHP003,290
2022-12,GHP003,290
2023-01,GHP003,293
2023-03,GHP003,276
2023-03,GHP003,276
2023-04,GHP003,293
2023-05,GHP003,293
2023-06,GHP003,300
2023-07,GHP003,293
2023-08,GHP003,293
2023-09,GHP003,289
2023-10,GHP003,293
2023-11,GHP003,293
2023-12,GHP003,300
2024-01,GHP003,293
2024-02,GHP003,293
2024-03,GHP003,287
2024-04,GHP003,293
2024-05,GHP003,293
2024-06,GHP003,300
2024-07,GHP003,293
2024-08,GHP003,293
2024-09,GHP003,300
2024-10,GHP003,293
2022-11,GHP004,111
2022-12,GHP004,109
2022-12,GHP004,109
2023-01,GHP004,111
2023-03,GHP004,104
2023-03,GHP004,104
2023-04,GHP004,111
2023-05,GHP004,111
2023-06,GHP004,114
2023-07,GHP004,111
2023-08,GHP004,111
2023-09,GHP004,109
2023-10,GHP004,111
2023-11,GHP004,111
2023-12,GHP004,116
2024-01,GHP004,111
2024-02,GHP004,111
2024-03,GHP004,108
2024-04,GHP004,111
2024-05,GHP004,111
2024-06,GHP004,117
2024-07,GHP004,111
2024-08,GHP004,111
2024-09,GHP004,118
2024-10,GHP004,111
2022-11,GHP005,70
2022-12,GHP005,69
2022-12,GHP005,69
2023-01,GHP005,70
2023-03,GHP005,66
2023-03,GHP005,66
2023-04,GHP005,70
2023-05,GHP005,70
2023-06,GHP005,71
2023-07,GHP005,70
2023-08,GHP005,70
2023-09,GHP005,69
2023-10,GHP005,70
2023-11,GHP005,70
2023-12,GHP005,73
2024-01,GHP005,70
2024-02,GHP005,70
2024-03,GHP005,68
2024-04,GHP005,70
2024-05,GHP005,70
2024-06,GHP005,74
2024-07,GHP005,70
2024-08,GHP005,70
2024-09,GHP005,74
2024-10,GHP005,70
2022-11,GHP006,176
2022-12,GHP006,174
2022-12,GHP006,174
2023-01,GHP006,176
2023-03,GHP006,165
2023-03,GHP006,165
2023-04,GHP006,176
2023-05,GHP006,176
